整理,#genre#
TVBS新聞台HD,http://lss.line-scdn.net/cc_tw/p/live/hV2XbBSUQCBw3dhYMDWMVK15PVCpKL05CW35HKUUbV3kYI0dMDn8RckYTAH8cfhxNCn1OLkMbUipLbk8YW3gSK0cTSS1JNE5IUGJGeUgEVy9KIE5KWHRG/720/chunklist.m3u8
東森新聞HD,http://lss.line-scdn.net/cc_tw/p/live/hcHNsx-zTPWYjZyN2G3IgUUgLZ1YOOXk1Sm9yU14KYgMOMnI2GGQkAVNaYwBeO383HWx7UwEMYFEbOygzSjtzBVAUYlZBOng4UGx2AEkMYVxeO3o4Tw/720/chunklist.m3u8
華視新聞資訊HD,https://lss.line-scdn.net/cc_tw/p/live/hvJoxVeXZKGQAbDZ0Onk1U2kEJQYqZm5hOmRnVn8BdwEvOWpkOjQzBXAIfgV7NjxhPGduVnQIf1x-dG9gbGNnUScJaVV-Lm4wZ3hmAX8ed1d8Om4yb25m/720/chunklist.m3u8
民視HD,http://lss.line-scdn.net/cc_tw/p/live/h4PqOBgV_an4eW3RuJE53SXdhNk5lU3kgJFMlS2A2NRsxDn8tcVImEG4_YBhpAyR6cFAsTGgwN0lnQy16clVzGWs-K09gGSwqeU8kG2EpNk5hDSwocVkk/720/chunklist.m3u8
CN卡通頻道,http://lss.line-scdn.net/cc_tw/p/live/hk_XGpfPFNXE3UythDUYoRl49Y0hMB3MvClt6RUU-ahQYB3txCg0sQkU4bxAYCHFyCVhzRBc5aUZLS3J1W10pQkQ2dEBJEXMlUEd7FEghaUFLBXMnWFF7/720/chunklist.m3u8
[金***],http://lss.line-scdn.net/cc_tw/p/live/hhiowkIFmNkcAYyhXOnYrcGkLbnF9PnkTPGt5c3MOaSIvN3hHPTt-JnNZPiEqbCdCbGhwciUJb3B5e3FDbG0tIXUGd3Z-IXATZ3d4In4RaX52NXARb2F4/720/chunklist.m3u8
空中英語教室,http://lss.line-scdn.net/cc_tw/p/live/hHzV4TCxJFlQ6IAhEAzULY1BKGmUVKFFQVyhZZk5NSTEWdQMHViMLNRlKSW0TL1BXUitQYRpNQGZOOFFQVS4PZEhMV2VHYlAAXjRYMUZSTmxNfVECXis/720/chunklist.m3u8
華藝綜合台,http://lss.line-scdn.net/cc_tw/p/live/hO8cF8e37ERYOUg8GNkcMIWVrTSV1CQJAYVpfc3g_TnMjBwRFYwlbeHxoGSN0BwNEZ1lXJHo4Ty5zSlYSYF0Pciw7UCdyEFdCa0Zfc3MgSixzDlZIYg/720/chunklist.m3u8

香港,#genre#
凤凰资讯HD,http://117.169.120.138:8080/live/fhzixun/.m3u8
香港31台HD,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-b.m3u8
香港翡翠台,http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
翡翠HD,http://ttzx.tv/hls/jade.m3u8
翡翠台,http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=2&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=.m3u8&Fsv_CMSID=&Fsv_otype=1
TVB翡翠台,http://m.567it.com/jade.m3u8
TVB翡翠台1,http://116.199.5.51:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
TVB 翡翠台 (備),http://116.199.5.51:8114/hls/Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.ts
TVB明珠台,http://116.199.5.51:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
明珠HD,http://ttzx.tv/hls/prarl.m3u8
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=12
香港開電視,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
星空衛視,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=23
香港衛視HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才財經台1,http://fc_video.bsgroup.com.hk:443/webcast/bshdlive-pc/playlist.m3u8
耀才財經台2,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
